OCCURRED_AT,ROW_TYPE,PRODUCT_ID,PROCESS_ID,RECIPE_ID,ACTION,STATE,RESULT,DETAIL,HEAD_NO,HEAD_STATE,TOTAL_POINTS,COMPLETED_POINTS,HEAD_RESULT,ERROR_CODE,MESSAGE,HEAD_STARTED_AT,HEAD_COMPLETED_AT
2026-07-10T15:29:09.5820299+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260710152909,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-10T15:29:55.8941599+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260710152909,DRILL_A01,STOP,STOPPED,NG,Station PROCESS stopped by operator.,,,,,,,,,
2026-07-10T17:26:44.9782322+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260710172644,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
