OCCURRED_AT,ROW_TYPE,PRODUCT_ID,PROCESS_ID,RECIPE_ID,ACTION,STATE,RESULT,DETAIL,HEAD_NO,HEAD_STATE,TOTAL_POINTS,COMPLETED_POINTS,HEAD_RESULT,ERROR_CODE,MESSAGE,HEAD_STARTED_AT,HEAD_COMPLETED_AT
2026-07-20T09:04:36.7986274+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260720090436,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-20T13:57:41.9231823+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260720135741,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-20T15:50:31.5280942+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260720155031,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-20T20:21:15.0910483+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260720202115,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
